2020-нояб.-26 17:13:07.180 | Получили задачу из очереди: TaskImp{taskId=1, taskType=1, payloadId=1}
2020-нояб.-26 17:13:07.183 | Получили задачу из очереди: TaskImp{taskId=2, taskType=2, payloadId=2}
2020-нояб.-26 17:13:07.183 | Получили задачу из очереди: TaskImp{taskId=3, taskType=1, payloadId=3}
2020-нояб.-26 17:13:07.183 | Получили задачу из очереди: TaskImp{taskId=4, taskType=2, payloadId=4}
2020-нояб.-26 17:13:07.184 | Подготовка к выполнению задачи: TaskImp{taskId=3, taskType=1, payloadId=3}
2020-нояб.-26 17:13:07.183 | Подготовка к выполнению задачи: TaskImp{taskId=1, taskType=1, payloadId=1}
2020-нояб.-26 17:13:07.185 | <<< Старт выполнения задачи: TaskImp{taskId=3, taskType=1, payloadId=3}
2020-нояб.-26 17:13:07.185 | <<< Старт выполнения задачи: TaskImp{taskId=1, taskType=1, payloadId=1}
2020-нояб.-26 17:13:07.186 | <<< Старт выполнения задачи: TaskImp{taskId=2, taskType=2, payloadId=2}
2020-нояб.-26 17:13:07.186 | <<< Старт выполнения задачи: TaskImp{taskId=4, taskType=2, payloadId=4}
2020-нояб.-26 17:13:10.187 | >>> Конец выполнения задачи: TaskImp{taskId=1, taskType=1, payloadId=1}
2020-нояб.-26 17:13:10.187 | >>> Конец выполнения задачи: TaskImp{taskId=4, taskType=2, payloadId=4}
2020-нояб.-26 17:13:10.187 | >>> Конец выполнения задачи: TaskImp{taskId=2, taskType=2, payloadId=2}
2020-нояб.-26 17:13:10.187 | >>> Конец выполнения задачи: TaskImp{taskId=3, taskType=1, payloadId=3}
2020-нояб.-26 17:13:10.188 | Сохранили результат выполнения задачи: TaskImp{taskId=1, taskType=1, payloadId=1}
2020-нояб.-26 17:13:10.188 | Отправили задачу на выполнение: TaskImp{taskId=4, taskType=2, payloadId=4}
2020-нояб.-26 17:13:10.188 | Сохранили результат выполнения задачи: TaskImp{taskId=3, taskType=1, payloadId=3}
2020-нояб.-26 17:13:10.188 | Отправили задачу на выполнение: TaskImp{taskId=2, taskType=2, payloadId=2}
2020-нояб.-26 17:13:10.188 | Получили результат выполнения задачи: TaskImp{taskId=4, taskType=2, payloadId=4}
2020-нояб.-26 17:13:10.188 | Получили результат выполнения задачи: TaskImp{taskId=2, taskType=2, payloadId=2}
2020-нояб.-26 17:13:10.189 | Сохранили результат выполнения задачи: TaskImp{taskId=4, taskType=2, payloadId=4}
2020-нояб.-26 17:13:10.189 | Сохранили результат выполнения задачи: TaskImp{taskId=2, taskType=2, payloadId=2}
2020-нояб.-26 17:15:25.071 | Получили задачу из очереди: TaskImp{taskId=1, taskType=1, payloadId=1}
2020-нояб.-26 17:15:25.075 | Подготовка к выполнению задачи: TaskImp{taskId=1, taskType=1, payloadId=1}
2020-нояб.-26 17:15:25.075 | <<< Старт выполнения задачи: TaskImp{taskId=1, taskType=1, payloadId=1}
2020-нояб.-26 17:15:28.076 | >>> Конец выполнения задачи: TaskImp{taskId=1, taskType=1, payloadId=1}
2020-нояб.-26 17:15:28.076 | Сохранили результат выполнения задачи: TaskImp{taskId=1, taskType=1, payloadId=1}
2020-нояб.-26 17:15:28.077 | Получили задачу из очереди: TaskImp{taskId=2, taskType=2, payloadId=2}
2020-нояб.-26 17:15:28.080 | <<< Старт выполнения задачи: TaskImp{taskId=2, taskType=2, payloadId=2}
2020-нояб.-26 17:15:31.080 | >>> Конец выполнения задачи: TaskImp{taskId=2, taskType=2, payloadId=2}
2020-нояб.-26 17:15:31.081 | Отправили задачу на выполнение: TaskImp{taskId=2, taskType=2, payloadId=2}
2020-нояб.-26 17:15:31.081 | Получили результат выполнения задачи: TaskImp{taskId=2, taskType=2, payloadId=2}
2020-нояб.-26 17:15:31.081 | Сохранили результат выполнения задачи: TaskImp{taskId=2, taskType=2, payloadId=2}
2020-нояб.-26 17:15:31.082 | Получили задачу из очереди: TaskImp{taskId=3, taskType=1, payloadId=3}
2020-нояб.-26 17:15:31.082 | Подготовка к выполнению задачи: TaskImp{taskId=3, taskType=1, payloadId=3}
2020-нояб.-26 17:15:31.082 | <<< Старт выполнения задачи: TaskImp{taskId=3, taskType=1, payloadId=3}
2020-нояб.-26 17:15:34.085 | >>> Конец выполнения задачи: TaskImp{taskId=3, taskType=1, payloadId=3}
2020-нояб.-26 17:15:34.085 | Сохранили результат выполнения задачи: TaskImp{taskId=3, taskType=1, payloadId=3}
2020-нояб.-26 17:15:34.085 | Получили задачу из очереди: TaskImp{taskId=4, taskType=2, payloadId=4}
2020-нояб.-26 17:15:34.085 | <<< Старт выполнения задачи: TaskImp{taskId=4, taskType=2, payloadId=4}
2020-нояб.-26 17:15:37.086 | >>> Конец выполнения задачи: TaskImp{taskId=4, taskType=2, payloadId=4}
2020-нояб.-26 17:15:37.086 | Отправили задачу на выполнение: TaskImp{taskId=4, taskType=2, payloadId=4}
2020-нояб.-26 17:15:37.087 | Получили результат выполнения задачи: TaskImp{taskId=4, taskType=2, payloadId=4}
2020-нояб.-26 17:15:37.087 | Сохранили результат выполнения задачи: TaskImp{taskId=4, taskType=2, payloadId=4}
